	Media Sources	Tweet Polarity	Tweets Ago
444	NYTimes	0.0	45
445	NYTimes	0.34	46
446	NYTimes	0.0	47
447	NYTimes	0.8625	48
448	NYTimes	-0.7003	49
449	NYTimes	-0.465	50
450	NYTimes	-0.25	51
451	NYTimes	0.0	52
452	NYTimes	0.0	53
453	NYTimes	-0.25	54
454	NYTimes	0.296	55
455	NYTimes	-0.5106	56
456	NYTimes	0.4215	57
457	NYTimes	0.1531	58
458	NYTimes	0.0	59
459	NYTimes	0.4019	60
460	NYTimes	0.4215	61
461	NYTimes	-0.4019	62
462	NYTimes	0.0	63
463	NYTimes	0.0	64
464	NYTimes	-0.4767	65
465	NYTimes	0.0	66
466	NYTimes	0.0	67
467	NYTimes	-0.5859	68
468	NYTimes	0.0	69
469	NYTimes	0.0	70
470	NYTimes	0.2732	71
471	NYTimes	0.2732	72
472	NYTimes	-0.0772	73
473	NYTimes	-0.2263	74
474	NYTimes	0.0	75
475	NYTimes	0.5267	76
476	NYTimes	0.4019	77
477	NYTimes	0.885	78
478	NYTimes	0.0	79
479	NYTimes	-0.4404	80
480	NYTimes	-0.4019	81
481	NYTimes	0.2617	82
482	NYTimes	-0.7506	83
483	NYTimes	0.0	84
484	NYTimes	0.0	85
485	NYTimes	0.0	86
486	NYTimes	-0.6908	87
487	NYTimes	-0.3818	88
488	NYTimes	-0.6249	89
489	NYTimes	-0.25	90
490	NYTimes	-0.0772	91
491	NYTimes	-0.296	92
492	NYTimes	0.0	93
493	NYTimes	0.0	94
494	NYTimes	0.7269	95
495	NYTimes	-0.1531	96
496	NYTimes	0.0	97
497	NYTimes	-0.2263	98
498	NYTimes	-0.5719	99
499	NYTimes	0.2732	100
